scientific_name_as_entered,common_name,updated_scientific_name,adjustment_type,reason, who,date,comments
Branta leucopsis x anser indicus,,Branta leucopsis x Anser indicus,typo,"Genus capitalization, but taxa db match was 1 Branta leucopsis x anser indicus Branta leucopsis x canadensis       0.905
",plz,,fix in L0
Cuculus canorus telephonus,,Cuculus canorus subtelephonus,sp change,"sometimes separated subspecifically as telephonus on basis of size (smaller than subtelephonus) and pale plumage (like subtelephonus), but birds in this area are not constant in these characters and overlap with other races occurs",plz,,
Larus brachyrhynchos caurinus,Northwestern Crow,Corvus brachyrhynchos caurinus,CHANGE TO CLOSEST MATCH," ""Matched 0.900468284""",plz,,
Campylorhynchos brunneicapillus,Cactus Wren,Campylorhynchus brunneicapillus,CHANGE TO CLOSEST MATCH," ""0.900716846""",plz,,
Cathartus aura,Turkey Vulture,Cathartes aura,CHANGE TO CLOSEST MATCH," ""0.901098901""",plz,,
Parkesia noveboracensis limnaeus,,Parkesia noveboracensis,KEEP ORIGINAL and change to species later when lumping subspecies,"BOW says No subspecies, following Eaton (1957a) and Molina et al. (2000). Hence, P. n. notabilis (Ridgway, 1880), P. n. limnaeus (McCabe and Miller, 1933), and P. n. uliginosus (Burleigh and Peters, 1948) are junior synonyms of P. noveboracensis (Gmelin, 1788).",plz,,
Zosterops lateralis gouldi,,Zosterops lateralis,CHANGE TO CLOSEST MATCH bc unresolved,"BOW says: In Australia, birds in W previously known as race gouldi, but chloronotus has priority and not preoccupied by chloronothos.",plz,,
Lanius schach erythronotus/tricolor,,Lanius schach erythronotus,CHANGE TO CLOSEST MATCH bc unclear,"BOW: Mainland races tend to intergrade; intermediates between erythronotus and tricolor sometimes referred to as nigriceps, a name better applied to a swarm of intergrades in NC India",,,
phelocoma woodhouseii suttoni,,Aphelocoma woodhouseii cyanotis,"?? KEEP ORIGINAL for now because it is a subspecies: BOW: A. w. suttoni Phillips, 1965.","Aphelocoma woodhouseii cyanotis was the closest match, but keeping original.  Includes A. w. mesolega Oberholser, 1974 (see Browning 1990). Breeds in foothills of Rocky Mountains from northern and eastern Utah (east of the Great Salt Lake Basin; Behle 1985) and southern Wyoming south through northeasternmost Arizona, northern Arizona, Colorado, central New Mexico, and westernmost Oklahoma to northern Chihuahua and western Texas (Pitelka 1945a, Pitelka 1951d) [type locality = Pueblo, Colorado]; some individuals wander in winter to lowlands south of the breeding range, such as the Colorado Desert (Phillips et al. 1964a, Patten et al. 2003) and Texas Panhandle (Seyffert1985). ",,,
Strigidae sp,,Strigidae sp.,TYPO,Genus sp should be sp. with a period,,,this should be fixed when stitched
